DS_0,DS_1,DS_2,DS_3,DS_4,DS_5,DS_6,DS_7,DS_8,DS_9,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19
NZ_AP024325.1,MMETSP0317-doi:10.5281/zenodo.1212585-TRINITY_DN6187_c0_g1_i1,MMETSP0034-doi:10.5281/zenodo.1212585-TRINITY_DN16219_c0_g1_i3,MMETSP1082-doi:10.5281/zenodo.1212585-TRINITY_DN2936_c2_g1_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN7272_c1_g2_i1,MMETSP0111-doi:10.5281/zenodo.1212585-TRINITY_DN15088_c0_g2_i1,MMETSP0039-doi:10.5281/zenodo.1212585-TRINITY_DN45477_c0_g1_i1,MMETSP0751-doi:10.5281/zenodo.1212585-TRINITY_DN6896_c0_g1_i1,MMETSP0143-doi:10.5281/zenodo.1212585-TRINITY_DN39857_c5_g1_i1,MMETSP1426-doi:10.5281/zenodo.1212585-TRINITY_DN1185_c0_g1_i1,MMETSP0382-doi:10.5281/zenodo.1212585-TRINITY_DN1429_c0_g1_i1,MMETSP0910-doi:10.5281/zenodo.1212585-TRINITY_DN14206_c9_g1_i1,MMETSP1364-doi:10.5281/zenodo.1212585-TRINITY_DN9076_c0_g2_i1,MMETSP0882-doi:10.5281/zenodo.1212585-TRINITY_DN12287_c2_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8259_c0_g1_i7,MMETSP1327-doi:10.5281/zenodo.1212585-TRINITY_DN4376_c1_g1_i1,MMETSP0105-doi:10.5281/zenodo.1212585-TRINITY_DN16998_c1_g7_i1,MMETSP0038-doi:10.5281/zenodo.1212585-TRINITY_DN33216_c0_g1_i8,MMETSP1110-doi:10.5281/zenodo.1212585-TRINITY_DN55176_c0_g1_i4,MMETSP0109-doi:10.5281/zenodo.1212585-TRINITY_DN13353_c0_g1_i3
NZ_CP060823.1,MMETSP0802-doi:10.5281/zenodo.1212585-TRINITY_DN20_c0_g1_i1,MMETSP0047-doi:10.5281/zenodo.1212585-TRINITY_DN38695_c0_g1_i1,MMETSP0878-doi:10.5281/zenodo.1212585-TRINITY_DN5230_c0_g1_i1,MMETSP0819-doi:10.5281/zenodo.1212585-TRINITY_DN17769_c2_g2_i1,MMETSP0905-doi:10.5281/zenodo.1212585-TRINITY_DN14370_c7_g2_i2,MMETSP0038-doi:10.5281/zenodo.1212585-TRINITY_DN32997_c2_g1_i13,MMETSP1161-doi:10.5281/zenodo.1212585-TRINITY_DN4092_c0_g2_i2,MMETSP0321-doi:10.5281/zenodo.1212585-TRINITY_DN10767_c1_g2_i1,MMETSP1321-doi:10.5281/zenodo.1212585-TRINITY_DN9693_c1_g1_i1,MMETSP0971-doi:10.5281/zenodo.1212585-TRINITY_DN7104_c0_g2_i2,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN6746_c0_g3_i1,MMETSP0901-doi:10.5281/zenodo.1212585-TRINITY_DN1400_c0_g1_i1,MMETSP0017-doi:10.5281/zenodo.1212585-TRINITY_DN15124_c0_g1_i1,MMETSP0707-doi:10.5281/zenodo.1212585-TRINITY_DN10993_c0_g2_i1,MMETSP0418-doi:10.5281/zenodo.1212585-TRINITY_DN14576_c1_g2_i2,MMETSP0160-doi:10.5281/zenodo.1212585-TRINITY_DN15978_c0_g1_i1,MMETSP1043-doi:10.5281/zenodo.1212585-TRINITY_DN18594_c2_g1_i1,MMETSP0795-doi:10.5281/zenodo.1212585-TRINITY_DN6308_c0_g1_i1,MMETSP1063-doi:10.5281/zenodo.1212585-TRINITY_DN13137_c7_g3_i1
NZ_CP077203.1,MMETSP1136-doi:10.5281/zenodo.1212585-TRINITY_DN23082_c1_g1_i1,MMETSP0807-doi:10.5281/zenodo.1212585-TRINITY_DN1754_c0_g1_i1,MMETSP0111-doi:10.5281/zenodo.1212585-TRINITY_DN17427_c4_g1_i14,MMETSP0017-doi:10.5281/zenodo.1212585-TRINITY_DN10050_c0_g1_i2,MMETSP0707-doi:10.5281/zenodo.1212585-TRINITY_DN9177_c1_g1_i1,MMETSP0087-doi:10.5281/zenodo.1212585-TRINITY_DN15401_c12_g1_i1,MMETSP0359-doi:10.5281/zenodo.1212585-TRINITY_DN39871_c0_g1_i1,MMETSP1399-doi:10.5281/zenodo.1212585-TRINITY_DN1677_c1_g1_i8,MMETSP0308-doi:10.5281/zenodo.1212585-TRINITY_DN14173_c8_g2_i1,MMETSP0759-doi:10.5281/zenodo.1212585-TRINITY_DN2584_c0_g2_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8433_c0_g1_i18,MMETSP0726-doi:10.5281/zenodo.1212585-TRINITY_DN3863_c0_g1_i1,MMETSP0156-doi:10.5281/zenodo.1212585-TRINITY_DN11700_c0_g1_i1,MMETSP0802-doi:10.5281/zenodo.1212585-TRINITY_DN3710_c18_g1_i1,MMETSP0891-doi:10.5281/zenodo.1212585-TRINITY_DN5727_c0_g1_i1,MMETSP0799-doi:10.5281/zenodo.1212585-TRINITY_DN38383_c1_g1_i1,MMETSP0359-doi:10.5281/zenodo.1212585-TRINITY_DN50969_c0_g1_i1,MMETSP1110-doi:10.5281/zenodo.1212585-TRINITY_DN55036_c0_g2_i1,MMETSP1065-doi:10.5281/zenodo.1212585-TRINITY_DN12548_c5_g2_i1
NZ_AP023261.1,MMETSP0898-doi:10.5281/zenodo.1212585-TRINITY_DN10513_c0_g1_i2,MMETSP0234-doi:10.5281/zenodo.1212585-TRINITY_DN2661_c1_g2_i1,MMETSP0046-doi:10.5281/zenodo.1212585-TRINITY_DN13037_c0_g1_i9,MMETSP0361-doi:10.5281/zenodo.1212585-TRINITY_DN41789_c1_g3_i1,MMETSP0143-doi:10.5281/zenodo.1212585-TRINITY_DN37660_c0_g1_i1,MMETSP1344-doi:10.5281/zenodo.1212585-TRINITY_DN19300_c0_g1_i6,MMETSP1404-doi:10.5281/zenodo.1212585-TRINITY_DN2707_c0_g1_i1,MMETSP0804-doi:10.5281/zenodo.1212585-TRINITY_DN12366_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN7058_c0_g1_i3,MMETSP0259-doi:10.5281/zenodo.1212585-TRINITY_DN17512_c0_g1_i1,MMETSP0891-doi:10.5281/zenodo.1212585-TRINITY_DN5567_c9_g1_i1,MMETSP0804-doi:10.5281/zenodo.1212585-TRINITY_DN13712_c1_g1_i2,MMETSP1100-doi:10.5281/zenodo.1212585-TRINITY_DN29825_c0_g1_i1,MMETSP0294-doi:10.5281/zenodo.1212585-TRINITY_DN18206_c0_g2_i1,MMETSP0027-doi:10.5281/zenodo.1212585-TRINITY_DN23471_c0_g1_i1,MMETSP0171-doi:10.5281/zenodo.1212585-TRINITY_DN15492_c0_g1_i1,MMETSP0976-doi:10.5281/zenodo.1212585-TRINITY_DN10972_c4_g2_i7,MMETSP1101-doi:10.5281/zenodo.1212585-TRINITY_DN42596_c7_g2_i2,MMETSP0987-doi:10.5281/zenodo.1212585-TRINITY_DN26526_c1_g1_i1
CP063823.1,MMETSP0929-doi:10.5281/zenodo.1212585-TRINITY_DN2485_c0_g2_i2,MMETSP1110-doi:10.5281/zenodo.1212585-TRINITY_DN53113_c1_g1_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN2183_c0_g2_i1,MMETSP0759-doi:10.5281/zenodo.1212585-TRINITY_DN2980_c2_g1_i1,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN7587_c0_g2_i1,MMETSP1047-doi:10.5281/zenodo.1212585-TRINITY_DN30013_c0_g1_i2,MMETSP0014-doi:10.5281/zenodo.1212585-TRINITY_DN8733_c0_g1_i1,MMETSP0804-doi:10.5281/zenodo.1212585-TRINITY_DN13635_c1_g1_i1,MMETSP0106-doi:10.5281/zenodo.1212585-TRINITY_DN12456_c1_g1_i1,MMETSP0106-doi:10.5281/zenodo.1212585-TRINITY_DN12820_c0_g1_i1,MMETSP0759-doi:10.5281/zenodo.1212585-TRINITY_DN2949_c1_g1_i1,MMETSP0807-doi:10.5281/zenodo.1212585-TRINITY_DN3208_c0_g1_i1,MMETSP0900-doi:10.5281/zenodo.1212585-TRINITY_DN8843_c0_g1_i6,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN10433_c1_g1_i6,MMETSP0013-doi:10.5281/zenodo.1212585-TRINITY_DN13448_c0_g1_i2,MMETSP0106-doi:10.5281/zenodo.1212585-TRINITY_DN13281_c2_g1_i1,MMETSP0150-doi:10.5281/zenodo.1212585-TRINITY_DN9163_c7_g1_i1,MMETSP1175-doi:10.5281/zenodo.1212585-TRINITY_DN27006_c1_g1_i1,MMETSP1163-doi:10.5281/zenodo.1212585-TRINITY_DN7281_c0_g1_i1
NZ_AP019653.1,MMETSP0123-doi:10.5281/zenodo.1212585-TRINITY_DN25479_c0_g1_i1,MMETSP0106-doi:10.5281/zenodo.1212585-TRINITY_DN13107_c0_g1_i1,MMETSP1157-doi:10.5281/zenodo.1212585-TRINITY_DN14579_c10_g1_i1,MMETSP0109-doi:10.5281/zenodo.1212585-TRINITY_DN13170_c1_g3_i2,MMETSP1164-doi:10.5281/zenodo.1212585-TRINITY_DN4275_c0_g1_i1,MMETSP0168-doi:10.5281/zenodo.1212585-TRINITY_DN6461_c8_g2_i1,MMETSP0359-doi:10.5281/zenodo.1212585-TRINITY_DN38835_c0_g1_i1,MMETSP0010-doi:10.5281/zenodo.1212585-TRINITY_DN12128_c2_g1_i1,MMETSP1066-doi:10.5281/zenodo.1212585-TRINITY_DN23136_c0_g2_i1,MMETSP0888-doi:10.5281/zenodo.1212585-TRINITY_DN8537_c0_g1_i17,MMETSP0359-doi:10.5281/zenodo.1212585-TRINITY_DN32333_c0_g1_i2,MMETSP0327-doi:10.5281/zenodo.1212585-TRINITY_DN9150_c7_g1_i1,MMETSP0046-doi:10.5281/zenodo.1212585-TRINITY_DN12434_c0_g2_i2,MMETSP1057-doi:10.5281/zenodo.1212585-TRINITY_DN8580_c4_g1_i1,MMETSP0010-doi:10.5281/zenodo.1212585-TRINITY_DN15195_c0_g1_i7,MMETSP0914-doi:10.5281/zenodo.1212585-TRINITY_DN12831_c0_g1_i2,MMETSP1101-doi:10.5281/zenodo.1212585-TRINITY_DN36846_c0_g1_i1,MMETSP0593-doi:10.5281/zenodo.1212585-TRINITY_DN10467_c0_g1_i1,MMETSP0234-doi:10.5281/zenodo.1212585-TRINITY_DN2607_c0_g1_i1
CP049996.1,MMETSP0890-doi:10.5281/zenodo.1212585-TRINITY_DN6868_c0_g2_i1,MMETSP1174-doi:10.5281/zenodo.1212585-TRINITY_DN22486_c0_g1_i1,MMETSP1309-doi:10.5281/zenodo.1212585-TRINITY_DN3993_c14_g1_i2,MMETSP0125-doi:10.5281/zenodo.1212585-TRINITY_DN20604_c0_g1_i1,MMETSP1165-doi:10.5281/zenodo.1212585-TRINITY_DN10036_c15_g1_i1,MMETSP0009-doi:10.5281/zenodo.1212585-TRINITY_DN21470_c4_g2_i1,MMETSP0087-doi:10.5281/zenodo.1212585-TRINITY_DN11554_c0_g1_i1,MMETSP0988-doi:10.5281/zenodo.1212585-TRINITY_DN29465_c3_g1_i1,MMETSP0603-doi:10.5281/zenodo.1212585-TRINITY_DN7391_c0_g1_i1,MMETSP0126-doi:10.5281/zenodo.1212585-TRINITY_DN21456_c0_g2_i1,MMETSP0103-doi:10.5281/zenodo.1212585-TRINITY_DN4993_c0_g1_i1,MMETSP0010-doi:10.5281/zenodo.1212585-TRINITY_DN14971_c0_g1_i3,MMETSP0943-doi:10.5281/zenodo.1212585-TRINITY_DN8184_c0_g1_i1,MMETSP1064-doi:10.5281/zenodo.1212585-TRINITY_DN7284_c4_g1_i1,MMETSP0903-doi:10.5281/zenodo.1212585-TRINITY_DN8436_c0_g2_i1,MMETSP1393-doi:10.5281/zenodo.1212585-TRINITY_DN7431_c0_g1_i1,MMETSP0287-doi:10.5281/zenodo.1212585-TRINITY_DN24836_c12_g2_i4,MMETSP0889-doi:10.5281/zenodo.1212585-TRINITY_DN8922_c0_g1_i46,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN9596_c0_g3_i4
CP072877.1,MMETSP1344-doi:10.5281/zenodo.1212585-TRINITY_DN18879_c1_g5_i4,MMETSP0803-doi:10.5281/zenodo.1212585-TRINITY_DN9603_c0_g2_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN6329_c0_g1_i1,MMETSP0888-doi:10.5281/zenodo.1212585-TRINITY_DN8540_c1_g1_i2,MMETSP0949-doi:10.5281/zenodo.1212585-TRINITY_DN14995_c0_g1_i1,MMETSP0418-doi:10.5281/zenodo.1212585-TRINITY_DN14073_c2_g1_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN7435_c0_g1_i1,MMETSP0027-doi:10.5281/zenodo.1212585-TRINITY_DN62401_c0_g1_i1,MMETSP0810-doi:10.5281/zenodo.1212585-TRINITY_DN61188_c0_g1_i1,MMETSP0361-doi:10.5281/zenodo.1212585-TRINITY_DN2455_c0_g1_i1,MMETSP0288-doi:10.5281/zenodo.1212585-TRINITY_DN10893_c0_g1_i2,MMETSP1105-doi:10.5281/zenodo.1212585-TRINITY_DN4466_c0_g1_i2,MMETSP0807-doi:10.5281/zenodo.1212585-TRINITY_DN2252_c0_g1_i7,MMETSP1071-doi:10.5281/zenodo.1212585-TRINITY_DN11771_c0_g1_i2,MMETSP1377-doi:10.5281/zenodo.1212585-TRINITY_DN114142_c0_g2_i1,MMETSP0648-doi:10.5281/zenodo.1212585-TRINITY_DN69898_c0_g2_i1,MMETSP0359-doi:10.5281/zenodo.1212585-TRINITY_DN18967_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8951_c1_g1_i42,MMETSP0447-doi:10.5281/zenodo.1212585-TRINITY_DN16975_c0_g1_i1
NZ_CP051678.1,MMETSP1412-doi:10.5281/zenodo.1212585-TRINITY_DN9003_c0_g1_i1,MMETSP1082-doi:10.5281/zenodo.1212585-TRINITY_DN3145_c2_g2_i1,MMETSP1017-doi:10.5281/zenodo.1212585-TRINITY_DN66112_c0_g1_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN6122_c0_g2_i1,MMETSP0436-doi:10.5281/zenodo.1212585-TRINITY_DN15711_c1_g1_i1,MMETSP0593-doi:10.5281/zenodo.1212585-TRINITY_DN2842_c0_g1_i1,MMETSP0527-doi:10.5281/zenodo.1212585-TRINITY_DN69499_c0_g1_i1,MMETSP0941-doi:10.5281/zenodo.1212585-TRINITY_DN4746_c0_g1_i1,MMETSP0158-doi:10.5281/zenodo.1212585-TRINITY_DN10463_c1_g1_i1,MMETSP1117-doi:10.5281/zenodo.1212585-TRINITY_DN29679_c4_g1_i1,MMETSP0977-doi:10.5281/zenodo.1212585-TRINITY_DN10799_c0_g2_i1,MMETSP1404-doi:10.5281/zenodo.1212585-TRINITY_DN4752_c5_g1_i28,MMETSP1400-doi:10.5281/zenodo.1212585-TRINITY_DN3307_c3_g1_i1,MMETSP0009-doi:10.5281/zenodo.1212585-TRINITY_DN21989_c0_g2_i1,MMETSP1070-doi:10.5281/zenodo.1212585-TRINITY_DN8538_c0_g2_i1,MMETSP0327-doi:10.5281/zenodo.1212585-TRINITY_DN7527_c3_g1_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN7205_c2_g2_i5,MMETSP1417-doi:10.5281/zenodo.1212585-TRINITY_DN6357_c0_g2_i1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN4905_c0_g1_i2
LR962417.1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN9247_c0_g3_i17,MMETSP1057-doi:10.5281/zenodo.1212585-TRINITY_DN8762_c4_g3_i2,MMETSP0574-doi:10.5281/zenodo.1212585-TRINITY_DN64642_c4_g2_i1,MMETSP1449-doi:10.5281/zenodo.1212585-TRINITY_DN9233_c10_g1_i1,MMETSP0106-doi:10.5281/zenodo.1212585-TRINITY_DN11624_c0_g1_i1,MMETSP1410-doi:10.5281/zenodo.1212585-TRINITY_DN8444_c1_g1_i1,MMETSP1060-doi:10.5281/zenodo.1212585-TRINITY_DN5437_c0_g2_i1,MMETSP1060-doi:10.5281/zenodo.1212585-TRINITY_DN6918_c0_g1_i1,MMETSP1060-doi:10.5281/zenodo.1212585-TRINITY_DN2836_c0_g1_i1,MMETSP1420-doi:10.5281/zenodo.1212585-TRINITY_DN8075_c0_g2_i1,MMETSP1176-doi:10.5281/zenodo.1212585-TRINITY_DN7751_c0_g1_i1,MMETSP0087-doi:10.5281/zenodo.1212585-TRINITY_DN14684_c0_g1_i1,MMETSP0099-doi:10.5281/zenodo.1212585-TRINITY_DN7957_c6_g1_i1,MMETSP0316-doi:10.5281/zenodo.1212585-TRINITY_DN9760_c0_g1_i1,MMETSP1103-doi:10.5281/zenodo.1212585-TRINITY_DN10479_c0_g1_i1,MMETSP0038-doi:10.5281/zenodo.1212585-TRINITY_DN32569_c0_g1_i3,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN9487_c1_g1_i19,MMETSP0020-doi:10.5281/zenodo.1212585-TRINITY_DN9941_c0_g2_i1,MMETSP0020-doi:10.5281/zenodo.1212585-TRINITY_DN8248_c2_g1_i1
NZ_AP024137.1,MMETSP1177-doi:10.5281/zenodo.1212585-TRINITY_DN8955_c11_g1_i1,MMETSP1049-doi:10.5281/zenodo.1212585-TRINITY_DN16120_c0_g1_i1,MMETSP0887-doi:10.5281/zenodo.1212585-TRINITY_DN9746_c1_g1_i6,MMETSP1344-doi:10.5281/zenodo.1212585-TRINITY_DN17894_c0_g1_i18,MMETSP0038-doi:10.5281/zenodo.1212585-TRINITY_DN32275_c0_g3_i3,MMETSP0404-doi:10.5281/zenodo.1212585-TRINITY_DN12315_c1_g2_i1,MMETSP0208-doi:10.5281/zenodo.1212585-TRINITY_DN20885_c0_g1_i1,MMETSP0034-doi:10.5281/zenodo.1212585-TRINITY_DN16043_c0_g1_i1,MMETSP0017-doi:10.5281/zenodo.1212585-TRINITY_DN15403_c0_g1_i2,MMETSP0013-doi:10.5281/zenodo.1212585-TRINITY_DN12143_c0_g1_i2,MMETSP0208-doi:10.5281/zenodo.1212585-TRINITY_DN12806_c3_g1_i1,MMETSP0696-doi:10.5281/zenodo.1212585-TRINITY_DN1484_c0_g1_i1,MMETSP0751-doi:10.5281/zenodo.1212585-TRINITY_DN8381_c0_g1_i1,MMETSP0015-doi:10.5281/zenodo.1212585-TRINITY_DN20396_c1_g1_i1,MMETSP0795-doi:10.5281/zenodo.1212585-TRINITY_DN12098_c2_g2_i1,MMETSP1344-doi:10.5281/zenodo.1212585-TRINITY_DN17315_c0_g1_i4,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN7340_c0_g1_i4,MMETSP1390-doi:10.5281/zenodo.1212585-TRINITY_DN1597_c0_g1_i1,MMETSP0416-doi:10.5281/zenodo.1212585-TRINITY_DN24988_c2_g2_i1
NZ_CP059402.1,MMETSP0359-doi:10.5281/zenodo.1212585-TRINITY_DN6197_c0_g1_i1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN10191_c0_g1_i1,MMETSP1161-doi:10.5281/zenodo.1212585-TRINITY_DN5113_c0_g1_i1,MMETSP0758-doi:10.5281/zenodo.1212585-TRINITY_DN3194_c0_g1_i1,MMETSP0038-doi:10.5281/zenodo.1212585-TRINITY_DN30415_c0_g2_i1,MMETSP0361-doi:10.5281/zenodo.1212585-TRINITY_DN40756_c0_g1_i1,MMETSP1426-doi:10.5281/zenodo.1212585-TRINITY_DN18322_c0_g1_i1,MMETSP0158-doi:10.5281/zenodo.1212585-TRINITY_DN10976_c0_g2_i1,MMETSP0469-doi:10.5281/zenodo.1212585-TRINITY_DN30280_c0_g1_i1,MMETSP0030-doi:10.5281/zenodo.1212585-TRINITY_DN54416_c0_g1_i1,MMETSP1473-doi:10.5281/zenodo.1212585-TRINITY_DN6155_c0_g2_i1,MMETSP0943-doi:10.5281/zenodo.1212585-TRINITY_DN12980_c0_g2_i1,MMETSP1460-doi:10.5281/zenodo.1212585-TRINITY_DN2635_c6_g2_i7,MMETSP0900-doi:10.5281/zenodo.1212585-TRINITY_DN5424_c0_g1_i1,MMETSP0469-doi:10.5281/zenodo.1212585-TRINITY_DN34086_c1_g1_i1,MMETSP1063-doi:10.5281/zenodo.1212585-TRINITY_DN12965_c0_g1_i2,MMETSP1386-doi:10.5281/zenodo.1212585-TRINITY_DN3027_c4_g1_i9,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN10314_c0_g1_i5,MMETSP1048-doi:10.5281/zenodo.1212585-TRINITY_DN14713_c4_g3_i1
NZ_CP047266.1,MMETSP0272-doi:10.5281/zenodo.1212585-TRINITY_DN12175_c0_g1_i1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN10252_c0_g1_i1,MMETSP0810-doi:10.5281/zenodo.1212585-TRINITY_DN61188_c0_g1_i1,MMETSP0780-doi:10.5281/zenodo.1212585-TRINITY_DN14547_c4_g1_i14,MMETSP0233-doi:10.5281/zenodo.1212585-TRINITY_DN2033_c0_g2_i1,MMETSP0108-doi:10.5281/zenodo.1212585-TRINITY_DN24394_c0_g2_i1,MMETSP1110-doi:10.5281/zenodo.1212585-TRINITY_DN53735_c3_g1_i1,MMETSP1177-doi:10.5281/zenodo.1212585-TRINITY_DN2557_c0_g1_i1,MMETSP0288-doi:10.5281/zenodo.1212585-TRINITY_DN11011_c5_g1_i1,MMETSP0898-doi:10.5281/zenodo.1212585-TRINITY_DN3573_c0_g1_i1,MMETSP0321-doi:10.5281/zenodo.1212585-TRINITY_DN11259_c7_g2_i1,MMETSP0034-doi:10.5281/zenodo.1212585-TRINITY_DN12925_c0_g1_i2,MMETSP1408-doi:10.5281/zenodo.1212585-TRINITY_DN6696_c0_g1_i1,MMETSP0707-doi:10.5281/zenodo.1212585-TRINITY_DN12532_c0_g1_i1,MMETSP0889-doi:10.5281/zenodo.1212585-TRINITY_DN8891_c4_g1_i4,MMETSP1052-doi:10.5281/zenodo.1212585-TRINITY_DN17201_c0_g1_i9,MMETSP0573-doi:10.5281/zenodo.1212585-TRINITY_DN66498_c3_g2_i1,MMETSP0120-doi:10.5281/zenodo.1212585-TRINITY_DN44683_c1_g1_i1,MMETSP0414-doi:10.5281/zenodo.1212585-TRINITY_DN21244_c2_g1_i1
NZ_CP049043.1,MMETSP1386-doi:10.5281/zenodo.1212585-TRINITY_DN3028_c8_g1_i1,MMETSP1085-doi:10.5281/zenodo.1212585-TRINITY_DN3152_c0_g2_i1,MMETSP0404-doi:10.5281/zenodo.1212585-TRINITY_DN11696_c0_g1_i2,MMETSP1083-doi:10.5281/zenodo.1212585-TRINITY_DN20529_c5_g2_i1,MMETSP0109-doi:10.5281/zenodo.1212585-TRINITY_DN10877_c0_g1_i1,MMETSP1399-doi:10.5281/zenodo.1212585-TRINITY_DN1686_c0_g1_i1,MMETSP1422-doi:10.5281/zenodo.1212585-TRINITY_DN11282_c2_g1_i1,MMETSP1052-doi:10.5281/zenodo.1212585-TRINITY_DN16947_c0_g1_i2,MMETSP0114-doi:10.5281/zenodo.1212585-TRINITY_DN10562_c0_g1_i1,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN9293_c0_g1_i2,MMETSP0941-doi:10.5281/zenodo.1212585-TRINITY_DN5247_c0_g1_i1,MMETSP1387-doi:10.5281/zenodo.1212585-TRINITY_DN3445_c1_g1_i2,MMETSP0102-doi:10.5281/zenodo.1212585-TRINITY_DN13701_c0_g1_i1,MMETSP0469-doi:10.5281/zenodo.1212585-TRINITY_DN35109_c0_g2_i5,MMETSP1310-doi:10.5281/zenodo.1212585-TRINITY_DN13675_c11_g1_i1,MMETSP0106-doi:10.5281/zenodo.1212585-TRINITY_DN12431_c0_g1_i1,MMETSP1386-doi:10.5281/zenodo.1212585-TRINITY_DN1143_c0_g2_i1,MMETSP1410-doi:10.5281/zenodo.1212585-TRINITY_DN7242_c0_g1_i1,MMETSP1419-doi:10.5281/zenodo.1212585-TRINITY_DN10400_c0_g1_i1
NZ_CP036134.1,MMETSP0463-doi:10.5281/zenodo.1212585-TRINITY_DN21468_c0_g1_i1,MMETSP0943-doi:10.5281/zenodo.1212585-TRINITY_DN13129_c0_g1_i1,MMETSP0898-doi:10.5281/zenodo.1212585-TRINITY_DN10748_c2_g3_i1,MMETSP0933-doi:10.5281/zenodo.1212585-TRINITY_DN2781_c0_g1_i1,MMETSP1057-doi:10.5281/zenodo.1212585-TRINITY_DN8970_c14_g1_i33,MMETSP0017-doi:10.5281/zenodo.1212585-TRINITY_DN15359_c0_g1_i4,MMETSP0102-doi:10.5281/zenodo.1212585-TRINITY_DN13258_c8_g1_i1,MMETSP1386-doi:10.5281/zenodo.1212585-TRINITY_DN3010_c1_g2_i1,MMETSP1451-doi:10.5281/zenodo.1212585-TRINITY_DN13111_c2_g1_i3,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN10667_c0_g1_i2,MMETSP0887-doi:10.5281/zenodo.1212585-TRINITY_DN9773_c1_g1_i10,MMETSP1386-doi:10.5281/zenodo.1212585-TRINITY_DN4440_c0_g1_i1,MMETSP0041-doi:10.5281/zenodo.1212585-TRINITY_DN19631_c7_g1_i1,MMETSP1143-doi:10.5281/zenodo.1212585-TRINITY_DN12258_c0_g1_i1,MMETSP1166-doi:10.5281/zenodo.1212585-TRINITY_DN6937_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN7521_c1_g1_i5,MMETSP0167-doi:10.5281/zenodo.1212585-TRINITY_DN7865_c0_g1_i1,MMETSP0233-doi:10.5281/zenodo.1212585-TRINITY_DN1708_c1_g1_i1,MMETSP0986-doi:10.5281/zenodo.1212585-TRINITY_DN8840_c0_g1_i1
NZ_CP061967.1,MMETSP0942-doi:10.5281/zenodo.1212585-TRINITY_DN10555_c0_g1_i1,MMETSP0795-doi:10.5281/zenodo.1212585-TRINITY_DN12057_c10_g1_i1,MMETSP0019-doi:10.5281/zenodo.1212585-TRINITY_DN4063_c0_g1_i1,MMETSP0271-doi:10.5281/zenodo.1212585-TRINITY_DN38246_c0_g1_i1,MMETSP0994-doi:10.5281/zenodo.1212585-TRINITY_DN18166_c11_g1_i1,MMETSP0102-doi:10.5281/zenodo.1212585-TRINITY_DN13533_c4_g1_i1,MMETSP1115-doi:10.5281/zenodo.1212585-TRINITY_DN33199_c0_g1_i1,MMETSP0014-doi:10.5281/zenodo.1212585-TRINITY_DN11970_c0_g1_i3,MMETSP1400-doi:10.5281/zenodo.1212585-TRINITY_DN3737_c1_g1_i1,MMETSP1065-doi:10.5281/zenodo.1212585-TRINITY_DN11808_c2_g1_i1,MMETSP0321-doi:10.5281/zenodo.1212585-TRINITY_DN10338_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8837_c0_g1_i1,MMETSP1144-doi:10.5281/zenodo.1212585-TRINITY_DN10254_c8_g1_i1,MMETSP1327-doi:10.5281/zenodo.1212585-TRINITY_DN4452_c13_g1_i1,MMETSP1082-doi:10.5281/zenodo.1212585-TRINITY_DN3063_c6_g2_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8837_c0_g1_i3,MMETSP0908-doi:10.5281/zenodo.1212585-TRINITY_DN13255_c0_g1_i1,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN11042_c1_g1_i1,MMETSP0108-doi:10.5281/zenodo.1212585-TRINITY_DN27534_c2_g2_i1
